Administrador,Usuario,botón correcto,tiempo de interacción,mini juego,número de interacción,color presionado,dificultad,fecha,Juego,auto push,tiempo de lección,tiempo de sesión
nicolas,NICOLAS,1.0,5.399169,1,1.0,0,0,25/01/2024 09:26:42 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,1.2834,1,2.0,3,0,25/01/2024 09:26:46 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,1.0,2.700226,1,3.0,1,0,25/01/2024 09:26:48 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,3.050262,1,4.0,1,0,25/01/2024 09:26:57 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,4.750256,1,5.0,1,0,25/01/2024 09:26:58 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,7.400463,1,6.0,1,0,25/01/2024 09:27:01 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,13.16735,1,7.0,1,0,25/01/2024 09:27:07 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,1.0,22.46778,1,8.0,4,0,25/01/2024 09:27:16 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,14.51718,1,9.0,1,0,25/01/2024 09:27:37 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,15.61735,1,10.0,0,0,25/01/2024 09:27:38 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,16.80135,1,11.0,1,0,25/01/2024 09:27:39 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,1.0,18.16748,1,12.0,3,0,25/01/2024 09:27:40 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,0.0,9.223312,1,1.0,0,0,25/01/2024 09:27:40 a. m.,0,0.0,63.80254,0.0
nicolas,NICOLAS,0.0,9.223312,0,1.0,0,0,25/01/2024 09:28:28 a. m.,0,0.0,0.0,0.0
nicolas,NICOLAS,1.0,10.40688,0,2.0,0,0,25/01/2024 09:28:29 a. m.,0,0.0,0.0,0.0
